Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
1278,2018,1,17,0,0,0.79707,0.80228,0.79406,0.79712,138715,83.57961618,0.00721905,0.00633531,57.8042328,57.8042328
1279,2018,1,18,0,0,0.79711,0.80116,0.79418,0.80057,120708,87.21213003,0.00756113,0.00648101,62.92286874,62.92286874
1280,2018,1,19,0,0,0.80057,0.80386,0.7982,0.79835,108713,74.79117475,0.00756587,0.00667438,49.43977591,49.43977591
1281,2018,1,21,0,0,0.79978,0.80027,0.79927,0.80016,4037,77.79881965,0.00762776,0.00688729,70.9631728,70.9631728
1282,2018,1,22,0,0,0.80016,0.8027,0.7979,0.80076,76578,78.77803672,0.00763718,0.00708348,69.42771084,69.42771084
1283,2018,1,23,0,0,0.80078,0.80298,0.79565,0.80045,98138,76.73785066,0.0075328,0.00723588,76.89133425,76.89133425
1284,2018,1,24,0,0,0.80043,0.80829,0.79936,0.80496,117987,83.84088405,0.00772495,0.00739834,71.96261682,71.96261682
1285,2018,1,25,0,0,0.80497,0.81188,0.80047,0.80289,180323,72.05881122,0.00762233,0.0075022,69.19254658,69.19254658
1286,2018,1,26,0,0,0.80288,0.81358,0.80253,0.81079,144956,82.81287526,0.00808527,0.00761959,61.21919585,61.21919585
1287,2018,1,28,0,0,0.81032,0.81179,0.81016,0.81166,4733,83.6227319,0.00842523,0.00775361,53.82550336,53.82550336
1288,2018,1,29,0,0,0.81166,0.81181,0.80742,0.80958,122733,73.90886153,0.00842964,0.00785012,55.27488856,55.27488856
1289,2018,1,30,0,0,0.80962,0.81135,0.80428,0.80995,123449,74.52304849,0.00836655,0.00793908,48.88123924,48.88123924
1290,2018,1,31,0,0,0.80995,0.8117,0.8035,0.80592,153083,57.36388141,0.00790029,0.00796936,45.71428571,45.71428571
1291,2018,2,1,0,0,0.80593,0.80673,0.79875,0.80393,139075,50.64581934,0.00728621,0.00793037,40.65217391,40.65217391
1292,2018,2,2,0,0,0.80392,0.80403,0.79181,0.79205,154689,27.89370273,0.00577437,0.00773498,40.77669903,40.77669903
1293,2018,2,4,0,0,0.79111,0.7917,0.78905,0.79044,8884,26.04384022,0.00439564,0.00736506,41.49484536,41.49484536
1294,2018,2,5,0,0,0.79043,0.79538,0.78723,0.78774,149604,23.05268179,0.00304996,0.00685702,72.3830735,72.3830735
1295,2018,2,6,0,0,0.78772,0.79102,0.78354,0.78933,214758,28.6802931,0.00208773,0.00619063,56.56167979,56.56167979
1296,2018,2,7,0,0,0.78933,0.79076,0.78111,0.78161,132950,20.27902777,0.00069422,0.00533163,51.41776938,51.41776938
1297,2018,2,8,0,0,0.7816,0.78434,0.77677,0.77885,191001,18.07110266,-0.00062565,0.00432548,38.51674641,38.51674641
1298,2018,2,9,0,0,0.77887,0.78302,0.77593,0.78118,171184,26.0057695,-0.00146673,0.0032329,42.76369583,42.76369583
1299,2018,2,11,0,0,0.7814,0.78212,0.78114,0.78202,4194,28.90191031,-0.00204198,0.0021282,36.69885865,36.69885865
1300,2018,2,12,0,0,0.78203,0.78644,0.78098,0.78578,111991,40.96795644,-0.00216945,0.00107757,37.82559456,37.82559456
1301,2018,2,13,0,0,0.78579,0.78767,0.78279,0.78615,105611,42.09612845,-0.00221509,0.00018985,20.0498132,20.0498132
1302,2018,2,14,0,0,0.78614,0.79343,0.77731,0.79294,164849,58.90919665,-0.00168395,-0.00048566,8.41777085,8.41777085
1303,2018,2,15,0,0,0.79294,0.79664,0.78921,0.79428,140493,61.48410169,-0.00114173,-0.0009514,3.49115256,3.49115256
1304,2018,2,16,0,0,0.79428,0.79886,0.78927,0.79089,122969,51.88743377,-0.00097433,-0.00129163,3.81091975,3.81091975
