Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
1147,2017,8,14,0,0,0.70458,0.70945,0.7035,0.70864,64784,45.480703,-0.00016886,0.00270423,64.13793103,64.13793103
1148,2017,8,15,0,0,0.70861,0.7117,0.70313,0.7035,69908,36.88976556,-0.00070849,0.00202146,47.87735849,47.87735849
1149,2017,8,16,0,0,0.70349,0.70892,0.70269,0.70548,95048,41.82804758,-0.00096525,0.00132787,33.06451613,33.06451613
1150,2017,8,17,0,0,0.70552,0.70778,0.70079,0.7014,105337,35.20545781,-0.00148089,0.00064116,14.26751592,14.26751592
1151,2017,8,18,0,0,0.7014,0.70888,0.70028,0.70531,100122,44.95037226,-0.00155609,0.00002794,15,15
1152,2017,8,20,0,0,0.70527,0.70612,0.70489,0.70531,1575,44.95037226,-0.00159728,-0.00048509,33.33333333,33.33333333
1153,2017,8,21,0,0,0.70533,0.70784,0.70386,0.70519,70955,44.66973133,-0.00162092,-0.00083001,32.09876543,32.09876543
1154,2017,8,22,0,0,0.70519,0.7065,0.70268,0.70472,71889,43.43071203,-0.00165846,-0.00108414,29.38931298,29.38931298
1155,2017,8,23,0,0,0.70472,0.70529,0.69535,0.69797,92909,29.65063956,-0.00220743,-0.0013293,17.42508324,17.42508324
1156,2017,8,24,0,0,0.69797,0.69858,0.69399,0.69528,75034,25.83889503,-0.00282697,-0.00162464,23.73056995,23.73056995
1157,2017,8,25,0,0,0.69528,0.69726,0.69114,0.69249,88017,22.36056209,-0.00350271,-0.00193511,22.02020202,22.02020202
1158,2017,8,27,0,0,0.69074,0.69302,0.69063,0.69289,3151,24.07023044,-0.00396031,-0.0022679,19.06693712,19.06693712
1159,2017,8,28,0,0,0.69289,0.69365,0.68661,0.6884,75910,18.68257933,-0.00463188,-0.00261801,16.89119171,16.89119171
1160,2017,8,29,0,0,0.68839,0.69333,0.68615,0.69331,116475,36.74564912,-0.00471357,-0.00296884,13.73895976,13.73895976
1161,2017,8,30,0,0,0.69331,0.69525,0.69024,0.69387,101887,38.56158818,-0.00467918,-0.00331127,9.20634921,9.20634921
1162,2017,8,31,0,0,0.69387,0.69472,0.68719,0.68842,116705,29.08198467,-0.00503367,-0.00369047,3.03206997,3.03206997
1163,2017,9,1,0,0,0.68844,0.69173,0.68605,0.69041,96435,35.80465986,-0.0050953,-0.00407234,4.79156684,4.79156684
1164,2017,9,3,0,0,0.68498,0.6892,0.68498,0.68844,2948,32.27149004,-0.00524267,-0.00440959,10.86303134,10.86303134
1165,2017,9,4,0,0,0.68844,0.68969,0.685,0.68638,59892,28.80392642,-0.00546271,-0.00470245,18.30161054,18.30161054
1166,2017,9,5,0,0,0.68639,0.69501,0.68442,0.69139,112293,45.43842202,-0.0051732,-0.00488805,25.70900123,25.70900123
1167,2017,9,6,0,0,0.69133,0.69251,0.68694,0.68823,103685,38.77232561,-0.0051395,-0.00501907,30.04830918,30.04830918
