Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
166,2014,6,18,0,0,1.08609,1.08907,1.08341,1.08356,19045,31.1687293,-0.00146323,-0.00076962,39.77591036,39.77591036
167,2014,6,19,0,0,1.08353,1.0836,1.0809,1.08166,18355,25.68364047,-0.00176325,-0.00096428,20.96774194,20.96774194
168,2014,6,20,0,0,1.08167,1.08247,1.07507,1.07565,17082,15.57122352,-0.00245764,-0.00123061,4.93550196,4.93550196
169,2014,6,22,0,0,1.07598,1.07598,1.07517,1.07521,1421,15.06460493,-0.00300877,-0.00152761,7.93591654,7.93591654
170,2014,6,23,0,0,1.0752,1.07524,1.07157,1.07301,16068,12.66155764,-0.00358178,-0.00185405,9.43560058,9.43560058
171,2014,6,24,0,0,1.073,1.07459,1.07149,1.07432,14536,21.3744739,-0.0038854,-0.00218689,14.64307505,14.64307505
172,2014,6,25,0,0,1.07431,1.07504,1.07161,1.0722,13791,17.98665716,-0.00424812,-0.00254284,25.76214405,25.76214405
173,2014,6,26,0,0,1.07225,1.07235,1.06819,1.0692,14324,14.25621102,-0.0047232,-0.00293154,43.59085024,43.59085024
174,2014,6,27,0,0,1.06921,1.06951,1.06587,1.06641,14473,11.63744008,-0.00526416,-0.00337728,66.68548842,66.68548842
175,2014,6,29,0,0,1.06671,1.06672,1.06601,1.06657,1005,12.7102413,-0.00561523,-0.00383862,63.64329268,63.64329268
176,2014,6,30,0,0,1.06653,1.06952,1.06459,1.06708,15362,16.48103737,-0.00578561,-0.00428555,53.63558597,53.63558597
177,2014,7,1,0,0,1.06717,1.06766,1.06276,1.06349,13136,12.1652367,-0.00613955,-0.00469465,39.64552239,39.64552239
178,2014,7,2,0,0,1.06346,1.06693,1.06256,1.06664,14738,30.7332197,-0.00609561,-0.00503763,55.08885299,55.08885299
179,2014,7,3,0,0,1.06666,1.06791,1.06194,1.06367,17838,24.93493842,-0.00622863,-0.00533172,59.67190704,59.67190704
